id,uuid,view_count,liked_count,title,description,cost,area,space,architect_id,created_at,updated_at
50,120004,341,,海辺のシェルハウス,"













",,,,12,2016-10-17 17:16:22.461221,2016-10-17 17:16:22.468800
51,120005,341,,大井の家,"













",,東京都,,12,2016-10-17 17:16:22.474595,2016-10-17 17:16:22.481690
52,130001,341,,037軽井沢 I さんの家,"









",,長野県軽井沢町,,13,2016-10-17 17:16:22.488654,2016-10-17 17:16:22.495113
53,130002,341,,040軽井沢Cさんの家,"


",,長野県軽井沢町,,13,2016-10-17 17:16:22.501140,2016-10-17 17:16:22.508809
54,130003,341,,035カルイザワハウス,"


",6000万円,長野県軽井沢町,,13,2016-10-17 17:16:22.514698,2016-10-17 17:16:22.522206
55,130004,341,,027甲府 I さんの家,"


",12000万円,山梨県甲府市,,13,2016-10-17 17:16:22.529103,2016-10-17 17:16:22.536686
56,130005,341,,029那須Hさんの家,,5500万円,栃木県那須町,,13,2016-10-17 17:16:22.542324,2016-10-17 17:16:22.554507
57,140001,341,,スプリットハウス,,,東京都,2014.1,14,2016-10-17 17:16:22.561692,2016-10-17 17:16:22.569632
58,140002,341,,板橋の立体住居,"




",,東京都板橋区,2014年12月,14,2016-10-17 17:16:22.576769,2016-10-17 17:16:22.584168
59,140003,341,,GARDEN HOUSE,"



",,神奈川県,2013年6月,14,2016-10-17 17:16:22.590188,2016-10-17 17:16:22.597459
60,140004,341,,ROOM 101,"


",,東京都渋谷区,2006年7月,14,2016-10-17 17:16:22.604565,2016-10-17 17:16:22.610491
61,140005,341,,世田谷フラット,"




",,,,14,2016-10-17 17:16:22.617411,2016-10-17 17:16:22.625499
62,150001,341,,HouseY,"





",,,2012,15,2016-10-17 17:16:22.632475,2016-10-17 17:16:22.639010
63,150002,341,,HouseK,"

",,,2011,15,2016-10-17 17:16:22.647370,2016-10-17 17:16:22.656481
64,150003,341,,HouseH,"


",,,2012,15,2016-10-17 17:16:22.662298,2016-10-17 17:16:22.669621
65,150004,341,,HouseT,"


",,,2012,15,2016-10-17 17:16:22.676503,2016-10-17 17:16:22.682966
66,150005,341,,HouseM,"

",,,2012,15,2016-10-17 17:16:22.689818,2016-10-17 17:16:22.697004
67,160001,341,,目黒Ｓ邸,"

",1300万円,,1969年,16,2016-10-17 17:16:22.702656,2016-10-17 17:16:22.710261
68,160002,341,,代官山Ｔ邸,"





",3500万円,,2008年,16,2016-10-17 17:16:22.717307,2016-10-17 17:16:22.724636
69,160003,341,,神戸Ｍ邸,"







",2600万円,,1997年,16,2016-10-17 17:16:22.730485,2016-10-17 17:16:22.738465
70,160004,341,,白金台Ｓ邸,"





",3600万円,,2004年,16,2016-10-17 17:16:22.745619,2016-10-17 17:16:22.754238
71,160005,341,,杉並区Ｓ邸,"




",3800万円,,1989年,16,2016-10-17 17:16:22.763793,2016-10-17 17:16:22.769700
72,170001,341,,寛の家82,"



",,神奈川県横浜市,,17,2016-10-17 17:16:22.776761,2016-10-17 17:16:22.783110
73,170002,341,,寛の家62,"
",,神奈川県横浜市,,17,2016-10-17 17:16:22.789053,2016-10-17 17:16:22.797182
74,170003,341,,寛の家61,"
",,神奈川県横浜市,,17,2016-10-17 17:16:22.804145,2016-10-17 17:16:22.810308
75,170004,341,,寛の家56,"
",,神奈川県横浜市,,17,2016-10-17 17:16:22.817406,2016-10-17 17:16:22.824596
76,170005,341,,寛の家52,,,神奈川県横浜市,,17,2016-10-17 17:16:22.830589,2016-10-17 17:16:22.839223
77,180001,341,,目黒の二世帯住宅,,,,,18,2016-10-17 17:16:22.845124,2016-10-17 17:16:22.854936
78,180002,341,,宮坂の二世帯住宅,,,,,18,2016-10-17 17:16:22.865657,2016-10-17 17:16:22.873083
79,180003,341,,横須賀の住宅,,,,,18,2016-10-17 17:16:22.878731,2016-10-17 17:16:22.885799
80,180004,341,,千歳台の二世帯住宅,,,,,18,2016-10-17 17:16:22.892537,2016-10-17 17:16:22.898499
81,180005,341,,宮坂の住宅,,,,,18,2016-10-17 17:16:22.905714,2016-10-17 17:16:22.913562
82,190001,341,,RW山荘,,,,2011年9月,19,2016-10-17 17:16:22.920706,2016-10-17 17:16:22.929263
83,190002,341,,N山荘,,,,2011年9月,19,2016-10-17 17:16:22.936443,2016-10-17 17:16:22.942848
84,190003,341,,S山荘,,,,2011年9月,19,2016-10-17 17:16:22.950170,2016-10-17 17:16:22.957649
85,190004,341,,Y山荘,,,,2011年9月,19,2016-10-17 17:16:22.968447,2016-10-17 17:16:22.974494
86,190005,341,,O山荘,,,,2012年9月,19,2016-10-17 17:16:22.981457,2016-10-17 17:16:22.989165
87,200001,341,,Aグランドホテル,,,,,20,2016-10-17 17:16:22.996615,2016-10-17 17:16:23.002900
88,200002,341,,レトロハイマート,,,,,20,2016-10-17 17:16:23.009946,2016-10-17 17:16:23.017857
89,200003,341,,O邸,,,,,20,2016-10-17 17:16:23.025186,2016-10-17 17:16:23.032891
90,200004,341,,N邸,,,,,20,2016-10-17 17:16:23.038843,2016-10-17 17:16:23.046692
91,200005,341,,T邸,,,,,20,2016-10-17 17:16:23.055880,2016-10-17 17:16:23.066631
92,210001,341,,OT-House,,,,,21,2016-10-17 17:16:23.073669,2016-10-17 17:16:23.081666
93,210002,341,,H-House,"
",,,,21,2016-10-17 17:16:23.089268,2016-10-17 17:16:23.097103
94,210003,341,,YK-House,,,神奈川県,,21,2016-10-17 17:16:23.102948,2016-10-17 17:16:23.110725
95,210004,341,,酒楽和華　清乃,"
",,東京都小平市,,21,2016-10-17 17:16:23.117768,2016-10-17 17:16:23.125196
96,210005,341,,MS-House,"
",,東京都,,21,2016-10-17 17:16:23.132091,2016-10-17 17:16:23.138315
97,220001,341,,IM-HOUSE,"


",,東京都,,22,2016-10-17 17:16:23.146006,2016-10-17 17:16:23.153916
98,220002,341,,ST-HOUSE,,,,,22,2016-10-17 17:16:23.161670,2016-10-17 17:16:23.172540
99,220003,341,,TH-HOUSE,,,,,22,2016-10-17 17:16:23.178513,2016-10-17 17:16:23.185746
100,220004,341,,OG-HOUSE,,,,,22,2016-10-17 17:16:23.192681,2016-10-17 17:16:23.198712
101,220005,341,,YS-HOUSE,,,,,22,2016-10-17 17:16:23.205972,2016-10-17 17:16:23.213185
102,230001,341,,T邸,,,,2013年,23,2016-10-17 17:16:23.219963,2016-10-17 17:16:23.226159
103,240001,341,,Villa Stella,,,,2014年,24,2016-10-17 17:16:23.233046,2016-10-17 17:16:23.240700
104,240002,341,,緑と風と光の家,,,,2014年,24,2016-10-17 17:16:23.246713,2016-10-17 17:16:23.254424
105,240003,341,,南軽井沢の家,,,,1992年,24,2016-10-17 17:16:23.264332,2016-10-17 17:16:23.270331
106,240004,341,,PATIO,,,,2011年,24,2016-10-17 17:16:23.278880,2016-10-17 17:16:23.285878
107,240005,341,,八雲の家,,,,2011年,24,2016-10-17 17:16:23.292561,2016-10-17 17:16:23.298655
108,250001,341,,岡部宿の家,,,,,25,2016-10-17 17:16:23.305664,2016-10-17 17:16:23.313653
109,250002,341,,ニワノアイダ,,,,,25,2016-10-17 17:16:23.320426,2016-10-17 17:16:23.326626
110,250003,341,,house 丁,,,,,25,2016-10-17 17:16:23.333387,2016-10-17 17:16:23.340860
111,250004,341,,m&n house,,,,,25,2016-10-17 17:16:23.346683,2016-10-17 17:16:23.353955
112,250005,341,,＋花見台,,,,,25,2016-10-17 17:16:23.362778,2016-10-17 17:16:23.370696
113,260001,341,,高津の家,,坪75万程度万円,,2011年竣工,26,2016-10-17 17:16:23.380530,2016-10-17 17:16:23.386968
114,260002,341,,富士山麓の家,,,,2008年竣工,26,2016-10-17 17:16:23.394539,2016-10-17 17:16:23.402060
115,260003,341,,スキマのある家,"
",,,2009年竣工,26,2016-10-17 17:16:23.409305,2016-10-17 17:16:23.416916
116,270001,341,,初台レジデンス,"

",,東京都,2014年,27,2016-10-17 17:16:23.422793,2016-10-17 17:16:23.431042
117,270002,341,,広尾H邸,,,東京都,2013年,27,2016-10-17 17:16:23.438252,2016-10-17 17:16:23.445398
118,270003,341,,みどりのK邸,"

",,茨城県,2013年,27,2016-10-17 17:16:23.452530,2016-10-17 17:16:23.458600
119,270004,341,,DKY リノベーション,"
",,東京都,2011年,27,2016-10-17 17:16:23.468006,2016-10-17 17:16:23.474037
120,280001,341,,鴨川の家,,,,2012年竣工,28,2016-10-17 17:16:23.483765,2016-10-17 17:16:23.491011
121,280002,341,,浄妙寺の家,,,,2011年竣工,28,2016-10-17 17:16:23.498290,2016-10-17 17:16:23.505743
122,280003,341,,回廊のある家,,,,2007年竣工,28,2016-10-17 17:16:23.512688,2016-10-17 17:16:23.520165
123,280004,341,,見晴らしのよい家,,,,2007年竣工,28,2016-10-17 17:16:23.526037,2016-10-17 17:16:23.533892
124,280005,341,,昭和のコートハウス,,,,2006年竣工,28,2016-10-17 17:16:23.541070,2016-10-17 17:16:23.549113
125,290001,341,,新小岩の家,,1500万円,,2005,29,2016-10-17 17:16:23.557333,2016-10-17 17:16:23.566898
126,290002,341,,田園調布の家,,3200万円,,2012,29,2016-10-17 17:16:23.573932,2016-10-17 17:16:23.584451
127,290003,341,,中目・黒の家,,2500万円,,2011,29,2016-10-17 17:16:23.590584,2016-10-17 17:16:23.598116
128,290004,341,,下井草の家-2,,3000万円,,2010,29,2016-10-17 17:16:23.605031,2016-10-17 17:16:23.613017
129,300001,341,,タテカグの家,,2400万円,広島県,2015,30,2016-10-17 17:16:23.618823,2016-10-17 17:16:23.626692
130,300002,341,,House-F 中庭ロフト付き住宅,,3000万円,広島県,2014,30,2016-10-17 17:16:23.633543,2016-10-17 17:16:23.641178
131,300003,341,,ドマ ト サンルーム,"
",,東京都,2014年,30,2016-10-17 17:16:23.648266,2016-10-17 17:16:23.654505
132,300004,341,,勾配天井の家,"



",600万円,広島県,2012,30,2016-10-17 17:16:23.662905,2016-10-17 17:16:23.672767
133,300005,341,,可動本棚の家,,400万円,東京都,2009,30,2016-10-17 17:16:23.678917,2016-10-17 17:16:23.690184
